Variables,C_H,L_H,N_H,A_H,K_H,Z_H,X_H,LAMBDA_H,S_H,NX_H,Y_H,C_F,L_F,N_F,A_F,K_F,Z_F,X_F,LAMBDA_F,S_F,NX_F,Y_F,LGM
C_H,1.0000,-0.5460,0.5460,0.5203,0.3194,0.4186,0.1688,0.8965,0.1259,0.0031,0.8043,0.8775,-0.0799,0.0799,0.0895,-0.0858,-0.0103,0.0527,0.6549,0.0056,-0.0031,0.4230,-0.9685
L_H,-0.5460,1.0000,-1.0000,-0.9213,-0.7998,-0.8780,-0.2580,-0.7287,-0.2550,-0.0116,-0.9368,-0.0799,-0.7742,0.7742,0.7185,0.7424,0.7547,0.1841,0.1907,0.2027,0.0116,0.5145,0.3203
N_H,0.5460,-1.0000,1.0000,0.9213,0.7998,0.8780,0.2580,0.7287,0.2550,0.0116,0.9368,0.0799,0.7742,-0.7742,-0.7185,-0.7424,-0.7547,-0.1841,-0.1907,-0.2027,-0.0116,-0.5145,-0.3203
A_H,0.5203,-0.9213,0.9213,1.0000,0.6512,0.8448,0.0896,0.6216,-0.0279,0.1838,0.8659,0.0895,0.7185,-0.7185,-0.7826,-0.5816,-0.7161,-0.0127,-0.1134,0.0608,-0.1838,-0.4679,-0.3146
K_H,0.3194,-0.7998,0.7998,0.6512,1.0000,0.8243,0.7304,0.6599,0.4447,-0.5324,0.7035,-0.0858,0.7424,-0.7424,-0.5816,-0.9397,-0.7500,-0.7070,-0.4965,-0.4335,0.5324,-0.5665,-0.1236
Z_H,0.4186,-0.8780,0.8780,0.8448,0.8243,1.0000,0.3762,0.6273,0.1974,-0.1758,0.7961,-0.0103,0.7547,-0.7547,-0.7161,-0.7500,-0.8852,-0.3321,-0.3112,-0.1742,0.1758,-0.5392,-0.2125
X_H,0.1688,-0.2580,0.2580,0.0896,0.7304,0.3762,1.0000,0.5215,0.4276,-0.9503,0.2598,0.0527,0.1841,-0.1841,-0.0127,-0.7070,-0.3321,-0.9710,-0.3354,-0.4165,0.9503,-0.1151,-0.1143
LAMBDA_H,0.8965,-0.7287,0.7287,0.6216,0.6599,0.6273,0.5215,1.0000,0.3194,-0.3174,0.8936,0.6549,0.1907,-0.1907,-0.1134,-0.4965,-0.3112,-0.3354,0.3106,-0.2041,0.3174,0.1365,-0.7972
S_H,0.1259,-0.2550,0.2550,-0.0279,0.4447,0.1974,0.4276,0.3194,1.0000,-0.4680,0.2471,0.0056,0.2027,-0.2027,0.0608,-0.4335,-0.1742,-0.4165,-0.2041,-0.9773,0.4680,-0.1542,-0.0666
NX_H,0.0031,-0.0116,0.0116,0.1838,-0.5324,-0.1758,-0.9503,-0.3174,-0.4680,1.0000,0.0014,-0.0031,0.0116,-0.0116,-0.1838,0.5324,0.1758,0.9503,0.3174,0.4680,-1.0000,-0.0014,-0.0000
Y_H,0.8043,-0.9368,0.9368,0.8659,0.7035,0.7961,0.2598,0.8936,0.2471,0.0014,1.0000,0.4230,0.5145,-0.5145,-0.4679,-0.5665,-0.5392,-0.1151,0.1365,-0.1542,-0.0014,-0.1876,-0.6311
